表情：🪪	身份证
表情：✨	火星
表情：🎋	七夕
表情：🥚	蛋
表情：🥚	鸡蛋
表情：🍇	葡萄
表情：🍈	瓜
表情：🪽	翅膀
表情：🍈	哈密瓜
表情：🍉	西瓜
表情：🍊	橘子
表情：🍋	柠檬
表情：🍌	香蕉
表情：🍍	菠萝
表情：🍍	凤梨
表情：🥭	芒果
表情：🍎	苹果
表情：🍐	梨
表情：🍐	鸭梨
表情：🍑	桃子
表情：🍑	桃
表情：🍒	樱桃
表情：🍓	草莓
表情：🫐	蓝莓
表情：🫒	橄榄
表情：🥝	猕猴桃
表情：🍅	柿子
表情：🍅	西红柿
表情：🥥	椰子
表情：🥑	鳄梨
表情：🍆	茄子
表情：🥔	土豆
表情：🫘	豆
表情：🫘	豆子
表情：🧄	蒜
表情：🧄	大蒜
表情：🧅	洋葱
表情：🥕	胡萝卜
表情：🌽	玉米
表情：🌽	苞米
表情：🌶	辣椒
表情：🥒	黄瓜
表情：🥬	蔬菜
表情：🥬	菜
表情：🥬	青菜
表情：🥦	菜花
表情：🥦	花椰菜
表情：🫚	姜
表情：🥜	花生
表情：🥨	饼干
表情：🥞	饼
表情：🧀	奶酪
表情：🧀	起司
表情：🧈	黄油
表情：🍖	肉
表情：🦪	牡蛎
表情：🦪	蚝
表情：🦪	生蚝
表情：🍗	鸡腿
表情：🥓	培根
表情：🍔	汉堡
表情：🍟	薯条
表情：🍕	批萨
表情：🍕	比萨
表情：🍕	批萨饼
表情：🍕	比萨饼
表情：🌭	热狗
表情：🥪	三明治
表情：🍳	烹饪
表情：🍳	锅
表情：🫕	火锅
表情：🍳	做饭
表情：🍳	煎蛋
表情：🥗	沙拉
表情：🍿	爆米花
表情：🧂	盐
表情：🧂	食盐
表情：🥫	罐头
表情：🍱	便当
表情：🍙	饭团
表情：🍘	仙贝
表情：🍚	米饭
表情：🍛	咖喱
表情：🍜	面
表情：🍜	面条
表情：🍝	意大利面
表情：🍠	红薯
表情：🍠	地瓜
表情：🍢	肉串
表情：🍢	串
表情：🍢	关东煮
表情：🍣	寿司
表情：🍤	天妇罗
表情：🍥	鱼板
表情：🥮	月饼
表情：🍡	团子
表情：🥟	饺子
表情：🥡	外卖
表情：🍦	冰淇淋
表情：🧊	冰
表情：🧊	冰块
表情：🍧	刨冰
表情：🍪	曲奇
表情：🍔	快餐
表情：🍥	日料
表情：🎂	蛋糕
表情：🎂	生日
表情：🥧	派
表情：🥧	馅饼
表情：🍫	巧克力
表情：🍬	糖
表情：🍬	糖果
表情：🍭	棒棒糖
表情：🍮	果冻
表情：🍯	蜂蜜
表情：🍼	奶瓶
表情：🥛	牛奶
表情：☕	热饮
表情：🍵	茶
表情：🧋	奶茶
表情：🍵	茶杯
表情：🫖	茶壶
表情：🍶	清酒
表情：🍾	香槟
表情：🍾	庆祝
表情：🍾	欢庆
表情：🍷	酒杯
表情：🍵	杯子
表情：🫙	瓶子
表情：🫙	瓶
表情：🫗	倒
表情：🫗	倾倒
表情：🍷	红酒
表情：🍷	葡萄酒
表情：🍸	鸡尾酒
表情：🍺	啤酒
表情：🥂	干杯
表情：🥃	威士忌
表情：🥢	筷子
表情：🍽	刀叉
表情：🥄	勺
表情：🥄	勺子
表情：🥄	匙
表情：🥣	汤
表情：🥄	汤匙
表情：🍷	酒
表情：🧘	瑜伽
表情：🏇	骑马
表情：🏇	赛马
表情：⛷	滑雪
表情：⛳	高尔夫
表情：🏄	冲浪
表情：🚣	划船
表情：🏊	游泳
表情：🤿	潜水
表情：🏀	篮球
表情：🚴	骑车
表情：🤸	翻跟头
表情：🤸	体操
表情：🤼	摔跤
表情：🤺	击剑
表情：🤽	水球
表情：🤾	手球
表情：🎪	马戏团
表情：🛹	滑板
表情：🛝	滑梯
表情：🎗	丝带
表情：🎫	票
表情：🎖	军功章
表情：🏆	奖杯
表情：🏅	奖牌
表情：🥇	冠军
表情：🥈	亚军
表情：🥉	季军
表情：🏅	奖
表情：🏅	奖项
表情：🎮	娱乐
表情：🎮	游戏
表情：⌚️	数码
表情：⌚️	电子
表情：⚽	足球
表情：⚾	棒球
表情：🥎	垒球
表情：🏐	排球
表情：🏈	橄榄球
表情：🪀	悠悠球
表情：🪁	风筝
表情：🏈	美式足球
表情：🎾	网球
表情：🥏	飞盘
表情：🎳	保龄球
表情：🏏	板球
表情：🏑	曲棍球
表情：🏓	乒乓球
表情：🏸	羽毛球
表情：🪶	羽毛
表情：🥊	拳击
表情：🥋	柔道
表情：⛸	滑冰
表情：🛼	旱冰
表情：🛼	轮滑
表情：🎣	钓鱼
表情：🎣	鱼竿
表情：🎽	运动服
表情：🛷	雪橇
表情：🥌	冰壶
表情：🎯	飞镖
表情：🪃	回旋镖
表情：🎱	台球
表情：🎮	手柄
表情：🎲	骰子
表情：🎲	色子
表情：🧩	拼图
表情：🎭	面具
表情：🎨	画画
表情：🎵	音乐
表情：🎵	音符
表情：🎤	麦克风
表情：🎤	话筒
表情：🎧	耳机
表情：🎷	萨克斯
表情：🎸	吉他
表情：🎺	喇叭
表情：🎺	号
表情：🎻	小提琴
表情：🎻	提琴
表情：🪇	沙球
表情：🪗	手风琴
表情：🪕	班卓
表情：🪔	油灯
表情：🪓	斧子
表情：🪜	梯子
表情：🪜	梯
表情：🛗	电梯
表情：🪝	钩
表情：🪝	钩子
表情：🪚	锯
表情：🪛	螺丝刀
表情：🥁	鼓
表情：🎬	电影
表情：🏹	弓
表情：🏹	弓箭
表情：🏍	摩托
表情：🏍	摩托车
表情：🏎	赛车
表情：🏔	山
表情：🌋	火山
表情：🗻	富士山
表情：🏕	露营
表情：🏖	海滩
表情：🏜	沙漠
表情：🏝	岛
表情：🏝	小岛
表情：🏝	岛屿
表情：🏞	公园
表情：🏟	运动场
表情：🏘	房子
表情：🏘	屋
表情：🏘	屋子
表情：🏘	住宅
表情：🛖	茅屋
表情：🛖	茅舍
表情：🏡	别墅
表情：🏠	家
表情：🏢	办公楼
表情：🏣	邮局
表情：🏥	医院
表情：🏦	银行
表情：🏨	宾馆
表情：🏨	旅馆
表情：🏫	学校
表情：🏪	商店
表情：™	商标
表情：©️	版权
表情：🏪	便利店
表情：🏬	商场
表情：🏭	工厂
表情：🏯	城堡
表情：💒	结婚
表情：🗼	塔
表情：🗼	东京铁塔
表情：🗽	自由女神
表情：⛪	教堂
表情：🕌	清真寺
表情：🕋	天房
表情：🕍	犹太
表情：⛩	神社
表情：⛩	鸟居
表情：⛲	喷泉
表情：⛺	帐篷
表情：🌃	夜晚
表情：🏙	城市
表情：🌄	日出
表情：🌆	日落
表情：🌆	黄昏
表情：🌆	傍晚
表情：🌌	银河
表情：⚽️	球
表情：🍮	甜点
表情：🍯	甜食
表情：💡	电器
表情：🎠	旋转木马
表情：🎡	摩天轮
表情：🎢	过山车
表情：🏟	游乐园
表情：🪂	降落伞
表情：🪂	跳伞
表情：🪂	伞兵
表情：🚂	火车
表情：🚃	电车
表情：🚄	高铁
表情：🚇	地铁
表情：🚈	轻轨
表情：🚉	车站
表情：🚌	公交
表情：🚌	巴士
表情：🚗	汽车
表情：🚡	缆车
表情：🚗	车
表情：🏒	运动
表情：🍭	零食
表情：🍞	面包
表情：🛩	飞行器
表情：🥄	餐具
表情：🥣	碗
表情：🍛	饭
表情：🍹	饮料
表情：🚑	救护车
表情：🚒	消防车
表情：🚓	警车
表情：🚕	出租车
表情：🚚	货车
表情：🚜	拖拉机
表情：🚲	自行车
表情：🚲	单车
表情：🛴	板车
表情：🛴	脚踏车
表情：🛵	电动车
表情：🛤	铁轨
表情：⛽	加油
表情：🚥	红绿灯
表情：🚧	施工
表情：⚓	锚
表情：⛵	船
表情：✈	飞机
表情：💺	座位
表情：🚁	直升机
表情：🛰	卫星
表情：🛰	人造卫星
表情：🚀	火箭
表情：🛸	飞碟
表情：🎆	烟花
表情：🎆	烟火
表情：🎆	礼花
表情：🎑	中秋节
表情：🎑	中秋
表情：￥	人民币
表情：💴	日元
表情：💵	美元
表情：💶	欧元
表情：💷	英镑
表情：₩	韩元
表情：₣	法郎
表情：🗿	复活节岛
表情：🛂	安检
表情：☠	危险
表情：🛀	洗澡
表情：😴	睡觉
表情：😴	晚安
表情：🛌	睡眠
表情：😪	困
表情：😪	睏
表情：🥱	哈欠
表情：🥱	打哈欠
表情：💌	情书
表情：💣	炸弹
表情：🕳	洞
表情：🛍	方便袋
表情：🛍	购物袋
表情：🛒	购物
表情：🛒	购物车
表情：📿	手串
表情：📿	佛珠
表情：💎	钻石
表情：💎	宝石
表情：🪨	石头
表情：🪨	岩石
表情：⌬	苯
表情：⌬	苯环
表情：🔪	刀
表情：🔪	菜刀
表情：🫙	罐
表情：⚱️	坛
表情：🗺	地图
表情：🗾	岛国
表情：🗺	世界
表情：🗺	世界地图
表情：🧭	指南针
表情：🧱	砖
表情：🧱	砖头
表情：🧱	砖块
表情：💈	理发店
表情：🛢	油桶
表情：🪣	桶
表情：🪣	水桶
表情：🔬	科学
表情：☸️	舵
表情：🌽	粗粮
表情：🛎	铃
表情：🔔	铃铛
表情：※	重点
表情：※	重要
表情：※	参考
表情：⌛	沙漏
表情：⌚	手表
表情：⏰	闹钟
表情：⏰	闹铃
表情：⏱	秒表
表情：🕰	座钟
表情：🌡	温度计
表情：🧨	鞭炮
表情：🧨	爆竹
表情：🎈	气球
